name,categories,address,city,postalCode,state,country,latitude,longitude,count
Carl's Jr.,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",2555 11th Avenue,Greeley,80631,CO,US,40.39629,-104.69699,205
Del Taco,"Restaurant,Mexican Restaurants,Fast Food Restaurants,Restaurants",2513 Highway 6 And 50,Grand Junction,81505,CO,US,39.08135,-108.58689,30
Chipotle Mexican Grill,"Fast Food Restaurants,Mexican Restaurants,Restaurants,Take Out Restaurants",3455 N Salida Court,Aurora,80011,CO,US,39.763690000000004,-104.77671,142
Taco Bell,"Fast Food Restaurants,Mexican Restaurants,Restaurants",5225 E Colfax Avenue,Denver,80220,CO,US,39.74044,-104.92636,529
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",1350 W Colfax Avenue,Denver,80204,CO,US,39.739670000000004,-105.00466999999999,784
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",200 16th Street,Denver,80202,CO,US,39.7417,-104.98828999999999,784
Taco Bell,"Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Karaoke,Fast Food Restaurants,Restaurants",1772 N College Ave,Fayetteville,72703,AR,US,36.085369,-94.15531899999999,529
Captain D's Seafood Kitchen,"Fast Food Restaurants,American Restaurants,Family Style Restaurants,Restaurants,Seafood Restaurants",605 S Havana Street,Aurora,80012,CO,US,39.70534,-104.86633,14
Cook-Out,"Fast Food Restaurants,American Restaurants,Barbecue Restaurants,Hamburgers and Hot Dogs,Restaurants",201 W Fillmore Street,Colorado Springs,80907,CO,US,38.87469,-104.8257,13
Steak 'n Shake,"Burger Joint,American Restaurants,Breakfast,American Restaurant,Fast Food Restaurant,Traditional American,Fast Food Restaurants,Hamburgers,Restaurants",1560 Briargate Boulevard,Colorado Springs,80920,CO,US,38.945809999999994,-104.79873,52
QDOBA Mexican Eats,"Mexican Restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants",1916 Southgate Rd Space E8a,Colorado Springs,80906,CO,US,38.80491,-104.81956,36
QDOBA Mexican Eats,"Grill Restaurants,Mexican,Mexican Restaurants,Brunch,Food Delivery,Fast Food,Fast Food Restaurants,Take Out Restaurants,Catering,Restaurants",7140 N Academy Blvd Space B4,Colorado Springs,80920,CO,US,38.936040000000006,-104.79854,36
Burger King,"Burger Joint,Restaurant,Fast Food Restaurant and Burger Joint Pleasant Valley,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurant and Burger Joint,Fast food restaurants,Restaurants",11410 N Rodney Parham Rd,Little Rock,72212,AR,US,34.772621,-92.400605,453
Carl's Jr.,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast food restaurants,Restaurants",1111 Highway 62 65 N,Harrison,72601,AR,US,36.2597,-93.1265,205
Taco Time,"Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Karaoke,Restaurants",2417 Tongass Ave Ste 120,Ketchikan,99901,AK,US,55.3484,-131.67413,39
Taco Bell,"Carry-out food,Mexican Restaurants,Food and Beverage,Tex-mex restaurants,Southwestern restaurants,American restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants",2695 Mill Bay Rd,Kodiak,99615,AK,US,57.80987,-152.36508,529
Taco Bell,"Mexican Restaurant,Carry-out food,Restaurant,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,American restaurants,Mexican restaurants,Restaurants",209 N Santa Claus Ln,North Pole,99705,AK,US,64.75607600000001,-147.35411000000002,529
Pizza Hut,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",10160 Kenai Spur Hwy,Kenai,99611,AK,US,60.56100000000001,-151.22925,474
Pizza Hut,"Carry-out food,Pizza Restaurants,Caterers,Restaurant delivery service,Chicken Wings,Catering Companies,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Pizza Place",1991 Airport Way,Fairbanks,99701,AK,US,64.8373,-147.7606,474
Arby's,"Restaurant,Carry-out food,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",810 Row River Rd,Cottage Grove,97424,OR,US,43.800839,-123.039401,252
Arby's,"Carry-out food,American Restaurant,American restaurants,Fast Food Restaurants,Fast Food,Karaoke,Restaurants,Delis And Delicatessens,Restaurant,Fast Food Restaurant,Traditional American,wich Place,Sandwich Shops",8429 W Center Rd,Omaha,68124,NE,US,41.233837,-96.04496,252
Chick-fil-A,"Fast Food Restaurants,Chicken Restaurants,Restaurants",1808 Ashville Road,Leeds,35094,AL,US,33.561840000000004,-86.52249,100
Jack's,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",303 9th Ave SW,Lafayette,36862,AL,US,32.88285,-85.40805,57
Jack's,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",503 1st Ave W,Reform,35481,AL,US,33.380990000000004,-88.02008000000001,57
Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Catering,Restaurants,Sandwich Shops",302 W Bypass,Andalusia,36420,AL,US,31.30987,-86.49962,1219
Krispy Krunchy Chicken,"Carry-out food,Service stations,Barbecued poultry,American restaurants,Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Barbecue,Convenience Stores,Spare rib restaurants,Restaurants",5356 Highway 67 S,Somerville,35670,AL,US,34.44567,-86.75545,39
Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",9433 Highway 431 S,Owens Cross Roads,35763,AL,US,34.570640000000004,-86.44759,1219
Burger King,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",505 E Cumming Avenue,Opp,36467,AL,US,31.280009999999997,-86.25010999999999,453
Kfc,"Carry-out food,Caterers,Barbecued poultry,American restaurants,Fast Food Restaurants,Take Out Restaurants,Barbecue,Chicken Restaurants,Spare rib restaurants,Catering,Restaurants",910 2nd Ave E,Oneonta,35121,AL,US,33.95433,-86.46733,69
