Zipcode,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Income Levels
55795,46.317812,-92.84315,1753.0,40.8,50063.0,21922.0,191.0,10.89560752994866,"Middle(<95,000)"
45388,40.328535,-84.47938,946.0,32.2,96940.0,36923.0,7.0,0.7399577167019028,"High(<400,000)"
39483,31.218509,-89.90761,6122.0,41.4,29726.0,24034.0,1696.0,27.703364913426984,"Low(<35,000)"
31503,31.205194,-82.37534,20344.0,41.8,40981.0,21426.0,4748.0,23.338576484467165,"Middle(<95,000)"
45833,40.841409,-84.34178,10667.0,42.5,61545.0,29317.0,745.0,6.984156745101716,"Middle(<95,000)"
95717,39.177026,-120.8451,176.0,59.5,52639.0,29301.0,43.0,24.431818181818183,"Middle(<95,000)"
98849,48.528793,-119.45276,1318.0,35.2,50149.0,18592.0,308.0,23.368740515933233,"Middle(<95,000)"
36201,33.658803,-85.85178,17482.0,42.5,27533.0,17849.0,4993.0,28.560805399839836,"Low(<35,000)"
80126,39.544549,-104.96808,43356.0,40.3,128994.0,55741.0,1086.0,2.504843620260172,"High(<400,000)"
05448,44.751801,-72.88247,851.0,48.6,68750.0,36965.0,60.0,7.050528789659224,"Middle(<95,000)"
94564,37.997509,-122.29208,19260.0,43.3,100240.0,41936.0,905.0,4.698857736240914,"High(<400,000)"
07452,40.961109,-74.12576,11780.0,40.6,187000.0,70032.0,342.0,2.903225806451613,"High(<400,000)"
89409,38.872139,-117.78194,109.0,57.6,56923.0,99323.0,0.0,0.0,"Middle(<95,000)"
25044,37.90907,-81.35066,232.0,43.6,41719.0,20882.0,0.0,0.0,"Middle(<95,000)"
23071,37.533471,-76.4609,1523.0,59.7,67414.0,41211.0,67.0,4.399212081418254,"Middle(<95,000)"
56570,46.895156,-95.36174,1289.0,44.9,58264.0,28280.0,107.0,8.30100853374709,"Middle(<95,000)"
57055,43.668009,-96.73032,1256.0,43.0,71111.0,36168.0,132.0,10.509554140127388,"Middle(<95,000)"
11757,40.690049,-73.37442,44368.0,41.7,96369.0,37707.0,2747.0,6.191399206635413,"High(<400,000)"
66758,38.005429,-95.56976,224.0,53.7,35455.0,22375.0,55.0,24.553571428571427,"Middle(<95,000)"
59318,47.426998,-107.44215,127.0,31.9,34659.0,18165.0,11.0,8.661417322834646,"Low(<35,000)"
68784,42.242742,-96.87191,1952.0,35.4,66071.0,25503.0,26.0,1.3319672131147542,"Middle(<95,000)"
61475,40.581413,-90.7612,249.0,51.2,79545.0,39434.0,4.0,1.606425702811245,"Middle(<95,000)"
59911,47.952716,-113.96215,8377.0,55.9,62420.0,38935.0,766.0,9.144084994628148,"Middle(<95,000)"
55092,45.329115,-93.06834,10597.0,43.7,83766.0,37556.0,319.0,3.010285929980183,"Middle(<95,000)"
35565,34.225425,-87.6118,12645.0,45.2,32121.0,21779.0,2076.0,16.417556346381968,"Low(<35,000)"
64843,36.734769,-94.42691,3847.0,40.3,48454.0,23342.0,565.0,14.686768910839616,"Middle(<95,000)"
